,Title,Coefficient,dof,period,gamma,alpha,hbeta
0,TikTok_Install,13.41474229165756,0.0,0.0,0.311485009512098,2.065716037265372,11.328194932453796
1,TikTok_AEO,145.35538264993505,0.0,0.0,0.362547213198278,2.0353236732488127,64.87212206837705
2,Google_UAC_Install,12.810585237488246,0.0,0.0,0.5261779870476802,2.020184224267925,5.459794249730431
3,Google_UAC_AEO,252.51336968619256,0.0,0.0,0.09998011010999215,2.003800018848626,22.068539836239072
4,Unity_Install,154.91044418194903,0.0,0.0,0.10469033222758421,2.0007152749250205,16.40835146765983
5,Unity_ROAS,267.3080103717402,0.0,0.0,0.10001274910715714,2.000047102425181,25.41682110940756
6,IronSource_Install,130.167998494619,0.0,0.0,0.09999932207042266,2.0000063925968377,10.481439497913493
7,Vungle_Roas,257.2823465272558,0.0,0.0,0.6741534993165994,2.0031677651081528,31.20746431725939
8,Vungle_Other,25.640615527329672,0.0,0.0,0.7699509291899101,2.0075970584730487,19.288535492260543
9,Applovin_AEO,566.8093773920101,0.0,0.0,0.3961734660460376,2.04303198783155,18.309081693282135
10,Applovin_Install,123.43513902532652,0.0,0.0,0.9144497132167189,2.158459577614932,4.385536827084333
11,Applovin_Roas,901.2494674643592,0.0,0.0,0.6482026413369749,2.1337771450078535,25.797059655502245
12,Chart_Boost_Roas,15.34857720379204,0.0,0.0,0.32095767451263546,2.0004007550140344,8.85661279802504
13,AppleSearch_Install,13.546802745051307,0.0,0.0,0.45924215089150366,2.3612476195112833,0.34010949702634075
14,AppleSearch_Roas,142.51778724715817,0.0,0.0,0.13628052011185385,2.0744112073718806,1.050870906141422
15,Liftoff_Other,505.16840907534606,0.0,0.0,0.1003290237224226,2.000334379338159,118.93420039548201
16,Moloco_Roas,430.0234293872478,0.0,0.0,0.47119506899656727,2.004547384466919,2377.284943844601
17,Appier_Install,124.50827020332284,0.0,0.0,0.24302914755312033,2.014473158439952,3820.471406924432
18,Kyawake_Other,34.8844021191489,0.0,0.0,0.568419198508276,2.0005897595163002,160.81618874292488
19,Mobupps_AEO,18.294539235740523,0.0,0.0,0.6473572390753518,2.00234603388884,647.8171468964192
20,Facebook_AEO,325.55884467556206,0.0,0.0,0.10001865194856752,2.0002863260260355,121.15474430039299
21,Facebook_INSTALL,82.09053582368752,0.0,0.0,0.09999453767130019,2.0000151893807208,8.661207281767163
22,Facebook_ROAS,1651.3781628870836,0.0,0.0,0.0998089636453066,2.0002669149505032,193.48417154547226
23,New_content,0.0007003840846537,-1.0,-1.0,-1.0,-1.0,-1.0
24,Bug_fix,0.0010448637749497,-1.0,-1.0,-1.0,-1.0,-1.0
25,In_game_event,0.0001686916529368,-1.0,-1.0,-1.0,-1.0,-1.0
